#{"t_start": 1764105416.99119, "env_id": "Gym-Gridworlds/CliffWalk-4x12-v0"}
r,l,t
-100.0,1,1.677732
-112.083333,52,1.685041
-108.9375,41,1.690809
-100.0,1,1.690976
-102.541667,11,1.692558
-119.208333,76,1.703647
-106.5625,28,1.707655
-114.583333,55,1.715658
-100.0,1,1.715827
-100.229167,2,1.716131
-107.166667,30,1.720415
-115.041667,63,1.729179
-102.104167,10,1.730634
-100.229167,2,1.730933
-101.645833,8,1.732076
-107.229167,29,1.736151
-100.729167,4,1.736734
-108.5625,43,1.7428
-101.666667,8,1.743937
-100.229167,2,1.744236
-119.270833,104,1.758923
-100.229167,2,1.759236
-100.6875,4,1.759822
-101.166667,6,1.760699
-128.083333,124,1.778628
-102.0,10,1.780153
-104.770833,19,1.782883
-100.0,1,1.783045
-100.6875,4,1.783647
-100.0,1,1.783813
-100.229167,2,1.784117
-100.229167,2,1.784439
-100.0,1,1.784597
-101.0,5,1.785324
-104.145833,18,1.78793
-106.958333,30,1.792159
-100.458333,3,1.792608
-106.75,26,1.796286
-116.8125,74,2.429285
-100.958333,5,2.43007
-111.375,48,2.436993
-106.104167,25,2.440693
-106.791667,28,2.444706
-100.6875,4,2.445305
-100.0,1,2.445469
-110.166667,39,2.45105
-111.458333,45,2.45745
-127.854167,128,2.475633
-111.9375,64,2.484797
-111.479167,45,2.491182
-113.9375,62,2.499988
-117.5,66,2.509356
-102.916667,14,2.511368
-105.666667,30,2.515715
-102.479167,11,2.517318
-100.0,1,2.517483
-100.479167,3,2.517936
-100.0,1,2.518099
-114.8125,63,2.527074
-100.229167,2,2.527384
-115.625,78,2.53845
-106.333333,29,2.542578
-100.0,1,2.54277
-100.0,1,2.54293
-100.229167,2,2.543243
-101.166667,6,2.544118
-113.208333,51,2.55138
-100.0,1,2.551553
-101.395833,7,2.552581
-100.229167,2,2.55291
-101.1875,6,2.553784
-102.25,10,2.555249
-107.083333,29,2.559391
-100.479167,3,2.55984
-106.4375,28,2.563847
-105.1875,25,2.567403
-102.020833,9,2.568729
-100.479167,3,2.569177
-124.416667,91,2.582093
-101.145833,6,2.582979
-140.875,176,2.607847
-118.5,80,2.619151
-100.708333,4,2.619746
-105.708333,23,2.623019
-100.229167,2,2.623328
-108.375,34,2.628128
-100.229167,2,2.628441
-127.9375,109,2.64395
-101.166667,6,2.644839
-109.041667,37,2.650096
-125.895833,107,2.665258
-103.145833,15,2.667406
-100.0,1,2.667571
-104.041667,17,2.669995
-100.0,1,2.670158
-135.75,139,2.689763
-101.979167,9,2.691064
-112.0,48,2.697915
-100.0,1,2.698078
-104.916667,20,2.700921
-105.416667,23,2.704221
-100.0,1,2.704397
-102.5,12,2.7062
-121.479167,124,3.347824
-102.625,13,3.349817
-101.270833,6,3.350714
-53.916667,200,3.379132
-135.291667,139,3.398961
-117.958333,74,3.409533
-50.770833,200,3.437765
-121.875,82,3.449469
-51.083333,200,3.477607
-138.270833,151,3.499134
-50.6875,200,3.527854
-101.5625,8,3.529106
-101.166667,6,3.530019
-127.708333,109,3.545486
-124.333333,94,3.558746
-52.520833,200,3.58683
-47.166667,200,3.615027
-138.020833,163,4.257793
-139.125,152,4.27958
-51.0,200,4.307967
-54.4375,200,4.336502
-128.583333,149,4.357679
-53.229167,200,4.385972
-100.0,1,4.3862
-51.916667,200,4.414527
-46.479167,200,4.442746
-108.604167,37,4.448075
-132.125,142,4.468098
-113.75,53,4.475598
-100.0,1,4.475762
-100.0,1,4.475928
-49.958333,200,4.504348
-100.708333,4,4.505012
-123.3125,85,4.517345
-100.0,1,4.517523
-50.479167,200,5.164756
-111.75,44,5.171113
-127.5,105,5.185742
-51.458333,200,5.21323
-100.229167,2,5.213599
-52.333333,200,5.241161
-46.375,200,5.26883
-53.166667,200,5.296409
-48.4375,200,5.324047
-150.9375,192,5.350424
-52.041667,200,5.377683
-105.666667,23,5.380953
-112.395833,47,5.387435
-54.625,200,5.41478
-100.0,1,5.415007
-51.6875,200,5.442448
-50.5,200,6.088162
-53.770833,200,6.115866
-54.604167,200,6.143468
-55.541667,200,6.170984
-54.583333,200,6.198607
-53.0625,200,6.226116
-53.0625,200,6.253646
-42.5,200,6.281024
-52.145833,200,6.308317
-53.354167,200,6.335805
-46.583333,200,6.981609
-139.1875,153,7.003515
-48.958333,200,7.032178
-40.666667,200,7.060242
-148.145833,190,7.086727
-105.25,21,7.089703
-28.3125,200,7.117514
-34.5,200,7.145372
-108.75,34,7.150252
-35.875,200,7.178066
-134.354167,186,7.20398
-111.333333,66,7.213227
-34.020833,200,7.240969
-100.0,1,7.24119
-36.270833,200,7.917696
-100.0,1,7.917981
-100.0,1,7.918159
-44.770833,200,7.946842
-116.229167,88,7.959544
-100.0,1,7.959719
-116.958333,90,7.972914
-36.291667,200,8.001445
-22.125,126,8.019316
-45.708333,200,8.047559
-25.875,200,8.076527
-39.083333,200,8.105172
-137.375,164,8.128801
-43.8125,200,8.157922
-115.833333,60,8.166726
-123.770833,105,8.182195
-101.229167,6,8.183083
-29.25,200,8.845591
-43.0,200,8.875582
-43.083333,200,8.905077
