#{"t_start": 1764783648.738105, "env_id": "Gym-Gridworlds/FourRooms-Original-13x13-v0"}
r,l,t
0.781065,10,5.344028
0.786982,9,5.347189
-0.183432,21,5.356954
-2.852071,128,5.400982
-0.136095,21,5.40773
-0.201183,21,5.413443
0.491124,16,5.419502
-0.278107,40,5.432936
-3.840237,111,5.466531
-2.16568,127,5.504776
-0.952663,46,5.518743
0.609467,12,5.522217
0.887574,7,5.524436
-6.804734,111,5.554583
-2.207101,85,5.579758
0.982249,3,5.580123
-5.556213,95,5.6075
-3.473373,58,5.62539
-0.011834,19,5.631604
0.207101,17,5.636831
0.159763,20,5.642665
-0.088757,20,5.648693
0.923077,6,5.651059
-0.810651,33,5.6613
-0.343195,23,5.669449
0.621302,12,5.672767
0.130178,18,5.680122
0.994083,2,5.680386
0.786982,9,5.68272
0.609467,12,5.68645
-0.710059,26,5.695718
-0.757396,38,5.707055
0.846154,8,5.71059
0.893491,8,5.715023
0.940828,5,5.718914
-0.420118,24,5.72704
0.911243,6,5.72852
-2.04142,39,5.741393
-0.011834,19,5.748293
0.538462,13,5.751891
-0.544379,34,5.761477
0.230769,17,5.767539
-0.017751,31,5.77716
0.485207,15,5.782528
0.414201,17,5.787241
-0.485207,34,5.798827
0.798817,9,5.802042
0.994083,2,5.80304
0.733728,10,5.805614
-0.443787,28,5.813669
-0.189349,22,5.822229
0.301775,17,5.827087
0.745562,10,5.829546
0.87574,7,5.831932
0.964497,4,5.834087
0.905325,8,5.836359
0.964497,4,5.837607
-0.12426,36,5.847855
-3.384615,130,5.88562
-8.106509,109,5.9163
-0.065089,59,5.933073
0.094675,18,5.937803
-1.005917,30,5.947257
0.745562,11,5.949856
0.597633,13,5.954051
-0.87574,79,5.976677
0.497041,15,5.981827
0.343195,18,5.987293
0.798817,9,5.989668
0.64497,12,5.992991
-0.04142,36,6.003708
0.674556,11,6.007005
-0.035503,30,6.014909
0.769231,10,6.018161
0.87574,7,6.020452
-1.715976,56,6.036832
0.982249,3,6.037871
-2.420118,111,6.111443
0.83432,8,6.114704
0.378698,15,6.119379
0.792899,10,6.121892
0.16568,18,6.127877
0.940828,5,6.130078
0.461538,14,6.13371
0.366864,18,6.139181
-0.52071,26,6.146892
0.869822,8,6.150123
0.609467,12,6.153598
0.609467,12,6.157136
-0.840237,55,6.173338
0.940828,5,6.175296
-5.775148,80,6.197813
0.43787,15,6.202088
0.786982,9,6.204305
0.798817,9,6.208586
0.218935,17,6.213314
0.177515,19,6.218985
0.538462,13,6.222498
0.64497,12,6.226603
0.431953,17,6.231114
0.64497,12,6.234457
-0.514793,46,6.248287
0.822485,9,6.251321
0.230769,29,6.258995
0.254438,17,6.264173
0.83432,8,6.266491
0.781065,11,6.270878
0.609467,12,6.274307
0.609467,12,6.277704
0.745562,11,6.281218
0.508876,15,6.286809
-0.473373,52,6.301835
0.83432,9,6.304259
0.87574,7,6.306396
-0.952663,32,6.317619
0.467456,16,6.322661
-0.704142,32,6.334412
0.87574,7,6.335894
0.384615,15,6.342225
-0.136095,21,6.349384
0.911243,6,6.351654
0.887574,7,6.353957
0.337278,16,6.360067
0.674556,11,6.363579
0.609467,12,6.367168
0.461538,14,6.371831
-3.035503,60,6.392598
0.568047,15,6.397747
0.485207,14,6.401256
-0.781065,39,6.41505
0.733728,10,6.42036
0.786982,9,6.429709
0.64497,12,6.436126
-5.526627,74,6.460893
-0.136095,21,6.470353
0.83432,8,6.473222
-0.16568,22,6.484043
0.538462,14,6.488618
-0.650888,27,6.49897
0.733728,10,6.502564
0.911243,6,6.504008
0.940828,5,6.505259
-0.627219,31,6.517444
0.408284,17,6.523036
0.112426,20,6.530024
0.982249,3,6.531095
0.674556,11,6.535467
0.698225,11,6.539031
-0.87574,27,6.546578
0.64497,12,6.549878
0.378698,15,6.555076
0.609467,12,6.559102
0.87574,7,6.56172
0.982249,3,6.562782
0.668639,14,6.567101
0.508876,15,6.571834
0.343195,38,6.583289
0.940828,5,6.585142
0.568047,14,6.590153
-3.260355,78,6.615246
0.195266,17,6.620029
0.538462,13,6.624262
0.798817,9,6.627462
0.674556,11,6.630947
-0.183432,24,6.637943
0.64497,12,6.642092
0.467456,16,6.648211
0.704142,12,6.651601
0.207101,17,6.656438
-0.467456,25,6.665749
0.301775,16,6.671232
0.272189,18,6.676274
0.508876,15,6.680945
0.887574,7,6.683116
0.934911,6,6.685373
-0.739645,28,6.693999
0.609467,12,6.698311
0.64497,12,6.701846
-0.360947,114,6.739509
0.508876,16,6.744709
0.982249,3,6.745081
0.739645,13,6.749237
0.153846,19,6.755006
-0.420118,24,6.76197
0.360947,16,6.76709
0.911243,6,6.769156
0.745562,15,6.774786
0.106509,19,6.779928
0.295858,16,6.785326
0.295858,59,6.802962
-0.988166,84,6.829519
-0.674556,27,6.837985
-1.195266,32,6.847272
0.461538,14,6.851274
-0.461538,36,6.864986
0.940828,5,6.867231
0.538462,13,6.870874
0.64497,12,6.876097
0.994083,2,6.87715
0.798817,9,6.880664
